종목명,연도,수익률,종합등급,환경,사회,지배구조,KOSPI,ROA,ROE
동부건설,2018,-22.26533868573347,,,,,2325.0094329333697,10.360283622037816,20.433410484779984
동부건설,2019,-8.49525279867982,C,C,B,B,2106.053582416317,6.705284924967933,14.218951627498631
동부건설,2020,15.585645381501,C,C,B,B,2220.068017282794,4.645132658576294,9.63901825029449
동부건설,2021,37.92624445867104,C,C,D,B+,3111.2176543205014,9.229263088482456,20.811656945342747
동서,2011,1.5508799467331746,,,,,1984.5420603887271,13.456289769278335,15.225378127963312
동서,2012,-6.006211104749337,,,,,1930.3727023216986,9.719171353267232,10.799200224966135
동서,2013,58.14485956622515,,,,,1960.4997163224316,11.366983744735268,12.601419957557743
동서,2014,21.914468833078654,,,,,1982.1581239038585,11.142851268515576,12.195665759441106
동서,2015,78.50369876427277,,,,,2011.8487494684034,9.677685721029604,10.664824387225451
동서,2016,-8.129655688209713,,,,,1987.0032527272294,9.220458030047595,10.218795731805187
동서,2017,-7.659213294645639,B,B,B,B,2310.368424918147,9.08472212803507,10.12845121118082
동서,2018,-14.07834370172666,B,B,B,B,2325.0094329333697,8.41915094315821,9.352218020604978
동서,2019,-23.257780280893712,C,C,B,C,2106.053582416317,9.505678762432222,10.40098886356829
동서,2020,14.746205088542672,C,D,B,C,2220.068017282794,7.903467546057999,8.630394665392984
동서,2021,48.74531729447864,C,D,C,B,3111.2176543205014,7.275828893453568,7.948715185492508
동성제약,2011,-19.40903895157906,B,B,B,E,1984.5420603887271,-6.305072237764805,-13.047376765820662
동성제약,2012,164.78092865810817,B,B,B,B,1930.3727023216986,1.272953202602178,2.705206748562586
동성제약,2013,33.408337927124656,B,C,B,B,1960.4997163224316,-1.5644214150491973,-3.233974754282166
동성제약,2014,3.300873484392741,B,C,B,B,1982.1581239038585,-8.153294246381355,-19.686911326212257
동성제약,2015,20.91385496362788,B,B,B,B,2011.8487494684034,0.3664615025704116,0.787799819296816
동성제약,2016,-4.883108139827841,B,C,B,B,1987.0032527272294,-1.3242608697705265,-2.98530217892431
동성제약,2017,-22.092930963715883,B,B,B,B,2310.368424918147,-0.159652457926379,-0.3084831452159475
동성제약,2018,404.1477529620966,B,C,B,B,2325.0094329333697,-4.097516711111637,-9.993244116368496
동성제약,2019,-14.231256807463522,C,C,C,C,2106.053582416317,-6.365424084781034,-11.962055741985171
동성제약,2020,-29.759456564776546,C,D,B,B,2220.068017282794,-11.198967846643049,-25.622636508038493
동성제약,2021,-14.00717145567687,C,D,C,B+,3111.2176543205014,-4.123881216118242,-9.286812262342451
