year,수익률,종목명
2011,-8.336298150667186,JW중외제약
2012,-3.2112996474297884,JW중외제약
2013,16.980385428157497,JW중외제약
2014,8.009226076941477,JW중외제약
2015,101.28264899298406,JW중외제약
2016,75.55049496916197,JW중외제약
2017,-9.768716831076995,JW중외제약
2018,-8.799810918005068,JW중외제약
2019,-17.367642212902567,JW중외제약
2020,1.7922872204613416,JW중외제약
2021,-12.05911675841902,JW중외제약
2022,-15.23882353071696,JW중외제약
2010,,JW홀딩스
2011,19.54943854823665,JW홀딩스
2012,-5.648913168598336,JW홀딩스
2013,5.3169447571098205,JW홀딩스
2014,8.711905251226849,JW홀딩스
2015,173.33103207412043,JW홀딩스
2016,61.701018820227894,JW홀딩스
2017,-20.755679679751882,JW홀딩스
2018,-5.099385399432876,JW홀딩스
2019,-16.67955274337567,JW홀딩스
2020,-13.144677998992172,JW홀딩스
2021,-16.254748431347732,JW홀딩스
2022,-15.094765860060678,JW홀딩스
2010,,KB금융
2011,-6.079346774563909,KB금융
2012,-21.0925707498536,KB금융
2013,-2.509207336414121,KB금융
2014,1.1701499043235364,KB금융
2015,-2.879959835264434,KB금융
2016,-3.0544401229161355,KB금융
2017,50.03205864228906,KB금융
2018,3.722532704649395,KB금융
2019,-20.347127416002674,KB금융
2020,250.44091765446953,KB금융
2021,-65.98856192213607,KB금융
2022,12.776762918866558,KB금융
2010,,KC그린홀딩스
2011,-39.2558642550332,KC그린홀딩스
2012,-15.957854272721562,KC그린홀딩스
2013,211.2340948644971,KC그린홀딩스
2014,10.84085250694189,KC그린홀딩스
2015,16.815066903385258,KC그린홀딩스
2016,-19.704814351865917,KC그린홀딩스
2017,-17.518956545749532,KC그린홀딩스
2018,-27.760695910137358,KC그린홀딩스
2019,-4.833434906077172,KC그린홀딩스
2020,-5.845590994454152,KC그린홀딩스
2021,21.291424240825396,KC그린홀딩스
2022,-17.87476695788951,KC그린홀딩스
2010,,KC코트렐
2011,15.904061702128548,KC코트렐
2012,-13.749665063487537,KC코트렐
2013,23.532705670272236,KC코트렐
2014,-34.90520423751465,KC코트렐
2015,0.4028376417743118,KC코트렐
2016,-22.959334461496685,KC코트렐
2017,-2.430013689513133,KC코트렐
2018,-15.400966161983487,KC코트렐
2019,45.11395260776065,KC코트렐
2020,-3.8015766230563908,KC코트렐
2021,23.177893663205484,KC코트렐
2022,-26.0808296046252,KC코트렐
2010,,KEC
2011,-32.039067980043534,KEC
2012,-18.001129521844206,KEC
2013,-64.1410316694403,KEC
2014,-28.150194625661907,KEC
2015,12.4648132547029,KEC
2016,-7.61269929685664,KEC
2017,11.18005347957558,KEC
2018,8.596363456577528,KEC
2019,-9.188107988598793,KEC
2020,11.02695538795999,KEC
2021,113.50175887432043,KEC
2022,18.557200046039448,KEC
2010,,KG케미칼
2011,-26.855813118438032,KG케미칼
2012,8.048582515045922,KG케미칼
2013,79.76613503399412,KG케미칼
2014,6.381194822472502,KG케미칼
2015,10.03194720497742,KG케미칼
2016,-22.447934913519006,KG케미칼
2017,10.79370085544953,KG케미칼
2018,55.74638641408374,KG케미칼
2019,-46.37875700792308,KG케미칼
2020,21.34010917148825,KG케미칼
2021,91.29695605975374,KG케미칼
2022,-6.712084338194735,KG케미칼
2010,,KISCO홀딩스
2011,-30.235037539232877,KISCO홀딩스
2012,-6.6278077008211085,KISCO홀딩스
2013,10.376771640678161,KISCO홀딩스
2014,18.065242917351142,KISCO홀딩스
2015,25.753569984069323,KISCO홀딩스
2016,7.470536602434064,KISCO홀딩스
2017,11.085158844441857,KISCO홀딩스
2018,-7.000244511176712,KISCO홀딩스
2019,1.3752115651930463,KISCO홀딩스
2020,-11.840435255734395,KISCO홀딩스
2021,56.11408657500774,KISCO홀딩스
2022,-13.51161165097019,KISCO홀딩스
2010,,KPX케미칼
2011,15.641804445429287,KPX케미칼
2012,-7.204328042707175,KPX케미칼
2013,17.45843364440902,KPX케미칼
2014,-0.17622148878363442,KPX케미칼
2015,-7.396366573590784,KPX케미칼
2016,-4.530895783181865,KPX케미칼
2017,23.581990347280836,KPX케미칼
2018,-5.680840017758692,KPX케미칼
2019,-11.719173535252825,KPX케미칼
2020,-11.359534363816614,KPX케미칼
2021,25.315757880165112,KPX케미칼
2022,-14.882833415483887,KPX케미칼
2010,,KPX홀딩스
2011,-10.481305153449561,KPX홀딩스
2012,-14.823546568150881,KPX홀딩스
2013,6.508797537925504,KPX홀딩스
2014,35.998287951513674,KPX홀딩스
2015,16.594743970631477,KPX홀딩스
2016,-13.021827213380844,KPX홀딩스
2017,6.886144462414778,KPX홀딩스
2018,-3.2423046964340396,KPX홀딩스
2019,-11.017948055327697,KPX홀딩스
2020,-16.278948041627473,KPX홀딩스
2021,36.201433770075695,KPX홀딩스
2022,-6.306683147255532,KPX홀딩스
2010,,KR모터스
2011,-19.68422064784675,KR모터스
2012,5.192634456377188,KR모터스
2013,-25.645477965594544,KR모터스
2014,89.65205595120807,KR모터스
2015,27.05933190589942,KR모터스
2016,-5.304671851368948,KR모터스
2017,-36.058964704929075,KR모터스
2018,-43.01539005295014,KR모터스
2019,-17.45507852577348,KR모터스
2020,-56.41147035642701,KR모터스
2021,32.708020716224404,KR모터스
2022,-27.88943861141582,KR모터스
2010,,KSS해운
2011,-9.18452979410349,KSS해운
2012,34.091142584574754,KSS해운
2013,88.4199705042762,KSS해운
2014,31.60948956023628,KSS해운
2015,18.353346666384375,KSS해운
2016,1.9787180649426084,KSS해운
2017,9.991006608751496,KSS해운
2018,-13.015245799184537,KSS해운
2019,-10.779386454536288,KSS해운
2020,18.365765888936725,KSS해운
2021,38.54732696966481,KSS해운
2022,0.2189201386056272,KSS해운
2010,,KTcs
2011,-3.779209951212381,KTcs
2012,-0.02065921682786742,KTcs
2013,32.50446162455305,KTcs
2014,13.592546124110605,KTcs
2015,12.463472567312039,KTcs
2016,-25.395150257111844,KTcs
2017,-9.043462856597795,KTcs
2018,-3.6812344161322286,KTcs
2019,-5.184650790370416,KTcs
2020,-13.346888479562157,KTcs
2021,46.284356271957016,KTcs
2022,-19.100617890241022,KTcs
2010,,LF
2011,32.99308892673072,LF
2012,-11.45545358313721,LF
2013,-13.040103487413724,LF
2014,-2.0959094376900578,LF
2015,7.416334580982342,LF
2016,-26.708648980458882,LF
2017,13.819742153504633,LF
2018,3.646968313539589,LF
2019,-18.044132370425846,LF
2020,-39.52456894693862,LF
2021,31.469755485002125,LF
2022,-4.382734017097456,LF
2010,,LG
2011,-1.3394979273444574,LG
2012,-15.067725274194043,LG
2013,2.9624930366136892,LG
2014,-2.5444068074308324,LG
2015,-0.23405090183891142,LG
2016,3.6750397451431382,LG
2017,15.97094009663962,LG
2018,2.089111996884818,LG
2019,-5.123794203515242,LG
2020,-1.9789615473568722,LG
2021,29.249726053828628,LG
2022,-25.185919018824443,LG
2010,,LG디스플레이
2011,-24.708275463819106,LG디스플레이
2012,-8.274563204140673,LG디스플레이
2013,3.035206779145083,LG디스플레이
2014,7.898183326532671,LG디스플레이
2015,-9.435458070125325,LG디스플레이
2016,-2.246666322146529,LG디스플레이
2017,15.762332887986963,LG디스플레이
2018,-27.056053395809542,LG디스플레이
2019,-25.277818779452353,LG디스플레이
2020,-18.72843979852199,LG디스플레이
2021,60.69013960839407,LG디스플레이
2022,-7.451834511327949,LG디스플레이
2010,,LG생활건강
2011,30.79569483717499,LG생활건강
2012,29.355267145633146,LG생활건강
2013,-1.9893988912230487,LG생활건강
2014,-11.081676737390788,LG생활건강
2015,59.15676472497962,LG생활건강
2016,18.002867978030835,LG생활건강
2017,0.6376273225367379,LG생활건강
2018,26.42827048439309,LG생활건강
2019,4.439296289806882,LG생활건강
2020,10.044352636352682,LG생활건강
2021,4.662726118464033,LG생활건강
