,종목명,연도,누적수익률,종합등급,환경,사회,지배구조,코스피누적수익률,ROA,ROE,tobinQ
5200,케이티,2021,8.890672910519015,6.0,6.0,4.0,6.0,47.72737409420227,3.9273974207454327,8.808962501179291,
5201,케이티스카이라이프,2011,np.NAN,,,,,np.NAN,6.31383805386214,11.610097416574666,
5202,케이티스카이라이프,2012,-3.872226672147605,3.0,4.0,4.0,3.0,-2.7295646259277606,4.181276878642,7.637638392175386,
5203,케이티스카이라이프,2013,21.598469506830043,3.0,3.0,4.0,3.0,-1.211480701073464,10.720613190318916,17.897636619962203,
5204,케이티스카이라이프,2014,-9.153834882511555,3.0,3.0,3.0,3.0,2.682664416041347,8.076352801839791,12.63211297886614,
5205,케이티스카이라이프,2015,-42.55867800869989,3.0,3.0,3.0,3.0,2.619180850599334,10.261119650954122,14.791297783349547,
5206,케이티스카이라이프,2016,-29.710247045389348,3.0,4.0,3.0,3.0,0.2444370489387726,8.851918251587207,12.600882908688348,
5207,케이티스카이라이프,2017,-16.56616250588634,3.0,4.0,3.0,3.0,14.838077441389274,7.228466986581572,9.841969643233831,
5208,케이티스카이라이프,2018,-21.9807167642414,3.0,3.0,3.0,3.0,17.010851881707566,6.373791850983721,7.807458867560651,
5209,케이티스카이라이프,2019,-33.48043896502689,4.0,2.0,4.0,4.0,-8.843387933206737,6.602536817958726,7.939434778901544,
5210,케이티스카이라이프,2020,-34.39536267481847,4.0,2.0,4.0,4.0,-4.513590962862269,6.328622002803119,7.816663884189179,
5211,케이티스카이라이프,2021,-7.37922131426193,5.0,3.0,5.0,5.0,47.72737409420227,4.884503751770906,7.731104973230936,
5212,케이티앤지,2011,5.837991724216463,4.0,6.0,4.0,5.0,np.NAN,,,
5213,케이티앤지,2012,28.112990681862303,5.0,6.0,6.0,4.0,-2.7295646259277606,,,
5214,케이티앤지,2013,14.53955808156071,5.0,6.0,5.0,5.0,-1.211480701073464,7.971198541083909,10.484143718640183,
5215,케이티앤지,2014,6.910284488362617,5.0,6.0,5.0,4.0,2.682664416041347,10.938855189467668,14.158674024692797,
5216,케이티앤지,2015,27.954402716066507,5.0,6.0,4.0,4.0,2.619180850599334,12.1836992238836,16.77915281689111,
5217,케이티앤지,2016,33.11509922524169,5.0,6.0,4.0,4.0,0.2444370489387726,12.367068949323356,17.056662580731246,
5218,케이티앤지,2017,10.693630488879656,5.0,5.0,6.0,4.0,14.838077441389274,12.089904361737448,15.4124452459755,
5219,케이티앤지,2018,-10.809317050563935,6.0,6.0,6.0,4.0,17.010851881707566,8.858311857544537,11.05945915101452,
5220,케이티앤지,2019,-7.074429678891681,6.0,4.0,6.0,6.0,-8.843387933206737,9.646170333735176,11.867824010022378,
5221,케이티앤지,2020,-18.752417212638285,5.0,4.0,6.0,5.0,-4.513590962862269,10.21628841280323,12.887134847638784,
5222,케이티앤지,2021,-18.248240165927665,5.0,5.0,6.0,5.0,47.72737409420227,8.350400437005568,10.552430132032542,
5223,코리아써키트,2011,42.94918770044007,3.0,3.0,3.0,3.0,np.NAN,2.095038401993189,3.5413863408105137,0.4816946190952557
5224,코리아써키트,2012,229.14515582993448,3.0,2.0,3.0,3.0,-2.7295646259277606,3.0102181477109418,4.853365571330205,1.0497975145029297
5225,코리아써키트,2013,171.7580036592115,3.0,2.0,3.0,3.0,-1.211480701073464,6.172167188873687,8.590013846105462,0.8771876552951582
5226,코리아써키트,2014,-27.88363964201589,3.0,3.0,3.0,4.0,2.682664416041347,0.8575066326196938,1.170694187294776,0.5792076883218047
5227,코리아써키트,2015,-31.97159301358762,3.0,3.0,3.0,4.0,2.619180850599334,1.405721600374907,1.8577150092736288,0.655264848988261
5228,코리아써키트,2016,-1.3780103616439332,3.0,2.0,3.0,4.0,0.2444370489387726,-0.8057722028430608,-1.0729153984304365,0.5993384768193972
5229,코리아써키트,2017,35.78558567430574,3.0,3.0,3.0,4.0,14.838077441389274,5.324262880384956,7.13330419659981,0.884707365167391
