,종목코드,종목명,2011_1분기,2011_2분기,2011_3분기,2011_4분기,2012_1분기,2012_2분기,2012_3분기,2012_4분기,2013_1분기,2013_2분기,2013_3분기,2013_4분기,2014_1분기,2014_2분기,2014_3분기,2014_4분기,2015_1분기,2015_2분기,2015_3분기,2015_4분기,2016_1분기,2016_2분기,2016_3분기,2016_4분기,2017_1분기,2017_2분기,2017_3분기,2017_4분기,2018_1분기,2018_2분기,2018_3분기,2018_4분기,2019_1분기,2019_2분기,2019_3분기,2019_4분기,2020_1분기,2020_2분기,2020_3분기,2020_4분기,2021_1분기,2021_2분기,2021_3분기,2021_4분기,2022_1분기
10,001460,BYC,95856094821.42856,95766864107.14284,96623135769.23076,96238757307.6923,110623778035.71428,105091473750.0,110155316785.71428,117058529318.18182,130522227321.42856,121733001964.28572,118336150909.09093,118000183750.0,132663764464.28572,143616834642.85715,177569121428.57144,163284771250.0,190373728928.57144,239606775535.7143,206721539375.0,287765335625.0,324264415714.2857,300685199464.2857,295528069772.7273,249797952692.30768,234386778750.0,236193700714.2857,201215260714.2857,196077058750.0,182945271964.2857,162039545192.30768,171172901590.9091,152536188125.0,151915291071.42856,147208370892.85715,152119778125.0,146966704375.0,102459167678.57144,130946073214.28572,143108905961.53845,176401686250.0,218191404107.14285,271038294642.85715,283546818409.0909,278770479230.7692,278221367142.8571
11,001465,BYC우,14883103500.0,14620026107.142857,15164760807.692308,14896357961.538462,15112334678.571428,14803103357.142857,14147717571.428572,15067159772.727272,15344642785.714285,15566181642.857143,14992754045.454546,15103873125.0,18644648678.57143,21244653321.42857,40069302321.42857,36983399375.0,36500065178.57143,40230841071.42857,36839809375.0,43256487500.0,49069318392.85714,43600077857.14286,41755319318.181816,37576398461.53846,35100062678.57143,38676992142.85714,37238528035.71429,32774417500.0,32353903928.57143,31255677115.384617,28215435000.0,24185940625.0,25823123035.714287,29353898571.42857,28538512500.0,26743637500.0,19983112607.142857,26530816607.142857,27602416153.846157,30001335625.0,32969289642.857143,40561610892.85714,39395874545.454544,37916044038.46154,38292376071.42857
12,032040,C&S자산관리,47320620945.71429,39882904109.28571,37799891235.0,45127010935.76923,47009298698.21429,51183572562.14286,77504215043.92857,76076675875.0,87849468033.57143,82979385848.21428,63245675224.09091,55962936653.333336,65410654478.21429,77748702626.42857,62061802962.85714,46642791132.5,143884941231.42856,183147244712.14285,138990688567.5,148735028058.75,125100798052.5,131535835435.0,112272443022.72728,80535634251.15384,71062567211.42857,70923046464.28572,28485485875.0,29040688760.416668,32149836250.0,32149836250.0,37738527905.454544,,,,,,,,,,,,,,
13,001040,CJ,2036818139300.0,2228898997214.2856,2366093977361.5386,2232272830938.4614,2420182382528.572,2309857844314.2856,2715432239400.0,3403664213090.909,4268479981071.4287,3267996126107.143,3328390569136.364,3086299077583.333,3857037051571.4287,4144525461142.857,5213628496642.857,4436440091875.0,4946319217607.143,7968111457178.571,8005101062458.333,7219099973166.667,6443457950714.286,6033969968214.286,5430035900454.546,5431281743076.923,4929870626357.143,5737448249571.429,4995518871857.143,5375861881500.0,4693328535428.571,4175677290692.308,3932263594090.909,3783284074000.0,3680469890571.4287,2994810437571.4287,2444789290750.0,2807313490900.0,1818977418171.4285,2564866531328.572,2400144743169.231,2492931337450.0,2725548427457.143,3144863570142.857,2980562968418.1816,2480044830000.0,2403976228071.4287
14,079160,CJ CGV,525524277664.2857,607699574550.0,522731858215.38464,540415293346.1539,549970692150.0,537526583571.4286,600998900700.0,636142295018.1818,986987167971.4286,1059737341200.0,1125781851600.0,918312812062.5,1145733946714.2856,991709818521.4286,1126386460542.8572,1145356066125.0,1308071447871.4285,2518196247000.0,2284540082625.0,2566690922625.0,2284666042821.4287,2244610700357.143,1791978459954.5454,1421551895607.6924,1563518726228.5715,1570320576835.7144,1351603291757.1428,1560294145200.0,1425970191728.5715,1386391560161.5386,1116163072963.6365,895476228450.0,965258177271.4286,781683786996.4286,732798634762.5,744701873325.0,375386577396.4286,468118474007.1429,787185000000.0,840060000000.0,1002731785714.2858,1097752500000.0,1148680795172.7273,926887193661.5385,1110016221382.1428
15,130960,CJ E&M,1130244751257.1428,1667410725985.7144,1708289209384.6155,1191571841353.8462,1117025659800.0,1007571775114.2858,1159019105657.1428,998765213672.7272,1364089012971.4285,1310435929028.5715,1457107399090.9092,1169259412333.3333,1659393355871.4285,1687750778175.0,1760926760607.1428,1392257215845.8333,2030114779157.1428,2878347528257.143,3506222356725.0,3146659463841.6665,2744998478985.7144,2725355776707.143,2759837396200.0,2621864486153.846,3184054373578.572,2977391012985.7144,3017229733100.0,3620159251866.6665,3530429912350.0,3628600861007.693,,,,,,,,,,,,,,,
16,011150,CJ씨푸드,120098608752.5,87003800335.71428,92383545194.23076,94041888563.46152,114734657640.35716,85322753456.07143,91533644217.5,103970591326.36365,101029634224.64284,95178051193.21428,96310803809.54546,85994316713.33333,91276995838.92856,92265092096.42856,101222120508.57144,88778951620.83333,98193669641.42856,118533053643.21428,160341074512.5,121041791543.75,129094134421.42856,115427608262.5,124402135427.72728,127250214532.3077,119469820225.0,120945548401.78572,107946308027.14284,102282933806.66669,99002112033.92856,112090192231.92308,101243119012.27272,85754778226.66667,83038582886.78572,102261546441.78572,121206474253.33331,95830365822.08331,92111103069.28572,133316000248.92856,168957550268.46155,187663433147.91663,168771973748.57144,170568512398.57144,145568627158.63635,135514292322.3077,145673619677.14285
17,011155,CJ씨푸드1우,2425714285.714286,2240714285.714286,1994153846.1538465,1790307692.3076923,1827857142.857143,1285142857.142857,1177857142.857143,955545454.5454544,1211928571.4285717,1234857142.857143,1496909090.909091,1117333333.3333333,1394428571.4285717,1421571428.5714283,1362285714.2857144,1212166666.6666667,3003571428.571429,4058571428.571429,4084166666.6666665,3437500000.0,3519285714.285714,2887857142.857143,3200909090.909091,3533076923.076923,4837142857.142858,5525714285.714286,5161428571.428572,5346666666.666667,5512142857.142858,6003846153.846154,5744545454.545455,5489166666.666667,5579285714.285714,6825000000.0,7162500000.0,6417500000.0,5505714285.714286,9029285714.285715,9843846153.846151,8375000000.0,7389285714.285714,8708571428.571428,7893636363.636364,7391538461.538462,7675000000.0
18,035760,CJ오쇼핑,1350574998535.7144,1441019327100.0,1589896607384.6155,1623903719023.077,1666196979000.0,1084067871135.7142,1413365983200.0,1678873632927.2727,1867162102900.0,2047075705892.8567,2104520984409.0908,2451490454291.6665,2349478845271.4287,2161302806721.4285,2041868338478.5715,1646711778058.3333,1378921961850.0,1307605341828.5715,1195002544466.6667,1172381165800.0,1199328594657.1428,1127361775528.5715,983407957018.1818,1010977908538.4615,1226943253200.0,1220505752414.2856,1254469118628.5715,1462718569333.3333,1363729045757.1428,1456532392600.0,,,,,,,,,,,,,,,
19,001045,CJ우,52219223525.0,49854061600.0,47490762496.15385,44569858926.92308,43751459500.0,42403397925.0,48530216700.0,58354848363.63636,73812425400.0,91337225875.0,88641836563.63637,88920939858.33333,139213592350.0,167999146700.0,239987249250.0,163602474816.66666,206083904250.0,306744550000.0,282151171166.6667,273957862791.66663,235515236600.0,226716511350.0,186036900381.81815,171411835053.84616,158280187800.0,207892082650.0,167030479700.0,177898385291.66666,158651510150.0,155503342400.0,137113346172.72728,130904582083.33331,129995111400.0,124715876250.0,98696404333.33331,103339279079.16669,70833774375.0,104874347200.0,105830595392.3077,119283268825.0,124344553900.0,148109184300.0,139907803700.0,123686357092.3077,112575249850.0
